Metric,Value
Total Records,367
Year Range,1990 - 2026
Pubmed Records,30
Scopus Records,337
Unique Journals,184
Unique Authors,1542
Unique Institutions,1211
Missing Affiliations,30 (8.2%)
Mean Citations,19.6
Median Citations,5
